Distinct Values
LCD_CONN_HP
PCH_CLK25M_XTALOUT_R
PP5VS0_EN
OFF_L
PM_SLP_5_L
PP5V_USBC
PP18V5_DCIN_ISOL_R
USB_BT_P
TBT_EN_CIO_PWR
PP20V_USBC_XA_VBUS
USBC_T_CC1
RTC_G3H
8409_HDA_SDINO_R
PD_L
SPI_MLB_CKL
USBC_XA_CC2
PP2V5_SW2_TPS62180_SSD0
CHGR_VCOMP_R
TCON_BKLT_PWM
5V_SW_LCD
C5202_RF
USB_XA_SBU2
PP3V3_TBT_T_F
P1V8S0_LX
PP3V42_G3H_BATT
S4_HS_TPAD
P5VUSBC_X_LL
P5VP3V3_VREG3
PP3V_G3H_RTC
PPVRTC_GR3
PPHV_SOSW_LCDBKLT
P5VUSBC_T_LL
PP5V_S0_BKLT_A
VIN_3V
TBTBST_SNS
SPI_BUS
SPI_MLB_IO1_WP_L
SLP_L
1V1_LDO
DP_TBTPA_AUXCH_P
PROFILE_2G
P5VS0_FET_RAMP
CODEC_WAKE_L
PPVIN_S5_HS_COMPUTING_ISNS_R
PP5V_S3_BTCAMERA
P5V_3V3_SUS_EN
S4_REG
PP3V3_FW
PP1V1_UPC_XB_LDO
SMC_OOB
P3V3SEN_SS
PMU_ON_OFF_L
5V3V3_REG_EN
TPAD_WAKE_L
SMC_EXTAL
GMUX_SLP_S3_BUF_L
TPAD_SPI
PPVIN_S5_HS_OTHER3V3_ISNS
CPUIMVP_LGATE1G
ALLSYS_PWRGD
PPDDR_S3_REG
PP3V3_S0_T29
LED_RETURN_2
ADAPTER_SENSE_R
P3V3S0_EN
CODEC_SDA
PP0V9_SSD_0
PPBUS_G3H_SPKRAMP
PP1V2_SD_COLD
IMG_3504
CHGR_CSIN
PPBUS_EN_DIV
PP0V8_SLPS2R
COMP_C_CPUSA_L
PPBUS_HS_OTH5V
3VXA_LDO
LVDS_BKL_PWM_R
P5VS5_FET_RAMP
SYSCLK_CLK25M_X2
AXG_R
LCD_IG_POWER_EN
TPIDRX_ELY
CHGR_VFRQ
ISNS_CPUHIGAIN_N
PP1V53_S3
REG_P1V2_S3_PGOOD
XDP_PCH_TDI
