Resistor number
r9014
R7002
R9731
R9703
r1920
R5260
R5511
R7701
R5501
R5503
r6905
R5000
R7050
R7802
R7051
R7020
R2627
R9715
r7010
R6805
R7974
R2179
r9741
R7403
R7021
R5281
R7052
R1981
R9788
R6961
R1300
R7402
R1301
R9008
R5481
R1800
R5170
R5071
R7005
R5400
R7012
r6860
R1370
R5087
R7968
R1984
R5710
R7101
R3888
R8162
R5530
R7700
R8165
r9589
R7859
R8319
r7086
R7160
R7120
R8998
R7123
R7115
r8999
r6995
R9808
R7502
R5290
R7550
R6929
R4596
R4016
R7812
R7185
R7913
R9500
R7095
R8611
R7100
R9755
R7743
R5233
R7400
R3880
R5100
R7846
R4850
R6990
R7151
R7121
R7252
R5280
R5193
R8798
R5110
R5077
R9719
R7251
r5120
R1950
R7273
R7001
R5015
R5535
R6101
R8112
R7202
R6110
R7150
R5665
r7520
R5450
R7941
R2810
R5014
R8136
R8137
R3210
R6061
R9757
r5122
R6895
R5403
R7731
R1410
R7811
R6130
R5177
R7022
R9704
R1303
R5072
R6911
R5704
R7140
R3700
R3791
r7085
R7105
R7300
R5410
R5370
R2040
R5380
R5002
R4651
R7850
R9789
R7801
R5301
R7954
R7732
R7147
R7015
R7715
r1905
R5701
r9010
R7788
R3550
R5381
R3553
R3510
R7310
R6802
R6917
R8430
r7510
R5361
R8184
R8186
R5115
R1962
r4510
R8187
R6010
R1281
r6153
R7747
R0910
R8115
R7912
R6500
R7704
R6117
R7978
R9501
R5488
R7008
r7000
R8911
R1801
R7940
R5208
R1802
R2891
R2893
r4808
r7515
R7441
R6111
R6112
R7780
R5660
R7551
R5409
R8141
R3500
R8179
R8020
r7130
R6103
R5270
R6910
R7469
R5117
R7760
R8305
R7981
R2055
R7967
R7966
R9693
R6920
R7420
R4999
r7080
R8178
R7720
R1963
R5489
R4830
R8050
R8000
R3080
R7006
R5095
R7708
R2708
r4856
R4810
R6200
R6114
R5210
R7040
R7201
R6102
R5805
R2013
R7013
R9094
r7840
R0709
R5200
R3454
R7081
r1830
R9717
R2806
R7152
R2530
R5390
R7911
R9753
R1923
R1885
R5041
R5813
R3250
R7260
R5081
R9192
R7803
R4600
R5001
r1625
r7601
R5492
R5311
R5313
R5360
R5250
r5251
R7742
R2070
R7933
R1803
R6131
R7917
r7641
R9800
r7727
R5187
r1921
R5526
R9809
R9701
R5422
R7910
R5171
R5085
r5339
R7842
R7110
R9600
R7781
r1909
R5020
R5702
r6324
R1000
R4910
R5641
R7096
R5811
R5806
R5640
R7752
R8158
R8151
R7919
R5222
R6913
R5235
R5134
R5112
R1845
r7500
R7180
r2822
R7757
r6912
R7758
R6128
R5142
R7965
R9678
R5510
R5512
r5261
R2310
r7562
R7271
R4000
R7122
R7552
r0960
R7830
R5040
R1985
R1102
R4801
R5201
R8185
R5413
R7951
R7963
r7272
R7962
R4052
R7860
R3205
R5475
R1305
R1270
R5445
R7025
R5419
r3452
R7741
R7716
R1987
r3222
R2584
R9650
R5303
r7640
R9656
r2590
R2400
r5800
R2300
R7116
r1825
r6796
R8177
R1580
R6125
R3201
R2885
R1583
R7225
R1581
R7986
R5595
r0980
r1430
R7425
R3140
R5076
R4520
R0530
R0531
R5116
R8613
R7750
R6323
R1100
r9709
R9840
R9740
R2415
R1284
R7111
R9722
R1872
R1360
R7721
R7311
R7631
r1431
R7702
R6060
R2805
R1481
R1461
R0901
R5714
R4533
R7331
R7789
R7988
R9700
R5140
R6950
r3740
R1620
R8610
R9320
r7630
R4262
R5127
R5350
R9676
R5441
R7401
R2021
R6211
R5151
R8140
R4851
R5490
R2072
R5429
R7600
R8156
R1894
R7554
R1380
R8164
R5070
r9115
R1960
R6051
R7953
R8131
R1405
R5021
R7125
R2030
R3913
R5320
R7555
R8940
R8300
r7416
R7380
R7279
R7613
R5550
R6065
R5570
R5440
R4532
R4260
R1103
R7261
R6116
R7975
R8167
R7611
r8803
R8795
R1700
R6991
R8451
R7516
R7916
R6881
R6700
R5630
R6120
R8402
R8503
R8502
r5681
r1517
R5017
R7003
R7206
r7216
R5430
R7186
R7220
r7269
R8081
R5388
R7270
R5923
R5111
R2042
r6100
r8702
R2193
R1672
R8341
R5030
R5158
r9665
r9655
r9663
R1460
R5016
R6896
R4804
R9430
r9340
R7751
R1961
r8309
R7883
R9018
R7918
R7862
R7280
R8133
R5455
R2898
R6996
R7011
R7029
R7075
R5185
r8342
r4902
R5173
R8111
R7210
R5679
R4690
R7060
R7061
R7717
R4212
R5393
R7112
r1833
R1906
R7102
R8310
r8640
R7407
R1451
R5198
R7745
R1310
R1841
R7230
R3061
R5323
R6921
r4650
R2719
r1804
R5491
R5664
R5669
R3038
R7549
R5349
R5123
R7765
r5689
R6115
R3000
R3110
R7686
R7547
R5875
R7237
R7047
R9682
R8191
R6412
R6414
R5256
r7524
R9410
R9398
R1450
R8710
R8612
R8318
R6928
R5191
R9920
R6906
r1917
r8052
R5730
R7864
R4823
r7753
R7901
R7248
R7249
r1661
R8320
R7264
R7267
R1669
r1900
r1663
R8340
r1343
R7440
R1610
R7320
R0330
R1931
R3512
R8360
R5499
R1470
R7779
R3081
R7956
R1120
R3741
R3710
R7644
r6952
r7714
R8442
R9730
R2221
r7104
R5421
R8802
R2851
R7236
R7235
R1915
r5231
r1464
R5225
R6622
R2120
R5922
R1548
r1632
R9721
R7892
R4439
R7192
R1222
R7057
R5670
R6123
R7740
R5010
r7141
R6331
R5080
R4913
R1666
R4844
r5050
R7903
R3943
R5052
R5054
R5498
R7501
R7914
R5551
R1924
R7505
R6330
R1401
R4755
R7710
R5180
R7307
R4911
R4404
R7744
R7113
R5625
R6612
R7144
r8301
R6923
R9723
R9724
R9075
R5300
R5600
R7103
R7805
R1618
R9718
r7821
R5520
R9708
R7820
R1630
R7350
R5650
R7090
R6999
R3351
R1995
R4860
R5275
R0899
R4852
R8361
R8350
R3305
R3881
R4822
R5226
R7810
R8362
R7062
R7430
R5755
R8359
R5853
r1690
R1970
R7719
r8168
R7697
R8534
R4411
R5585
R5580
R2223
R7964
R8900
R6121
R3772
R8338
R5189
R3350
R1082
R8556
R7661
R7662
R5431
R4030
R1302
R6332
R5351
R4485
R4870
R6610
R7545
r5091
R7672
R7961
R2598
R5385
R1810
R7677
R5092
R6940
R8960
R5033
R8950
R7073
R9606
r4750
R7340
R1619
R3108
R0812
R4800
R5253
R7835
R6915
R5192
R6902
R9030
R5788
R1600
R8910
R9350
R9810
R5283
R9824
R6499
R5181
R6210
R7521
r6908
R8117
R7511
R9120
r5860
R9712
r2660
R2081
R5028
R3100
R9406
R2585
R3476
R6806
R7072
R7684
R3744
R3743
R1441
R9827
R7537
r7718
R9330
r5220
R3509
R3109
R9873
R5023
R5420
R2683
R5426
R9988
R7712
R5051
R4901
r5479
R5477
R4953
R8312
R3918
R5322
R1639
R2011
R7828
R7922
R7970
R4453
R9714
R4400
R4490
R1562
R1673
R6907
R7880
R8116
R8166
R3203
R2686
R6119
R6118
R7656
R7691
r1021
R7071
R7663
R7612
R7643
R8110
R0954
R1720
R4506
R5068
R9050
R3014
R3015
R5167
R8400
R2728
R3105
R3561
R8904
R1313
R9017
R7563
r5271
R5335
R6955
R0620
R1947
R3554
R8431
R2151
R1930
r3767
r7822
R8620
R8114
R5663
R8645
r4590
R1420
R8515
R8554
R6668
R8590
R8501
r1239
R7200
R9856
R3034
R3033
R2890
R7723
R5703
R1275
R7660
R5495
R2502
R7798
R1812
R8190
R5075
r8292
R4308
R1623
R9666
R5460
R4031
R9420
R3506
R4481
R6133
R9235
R9121
R5590
R0920
R4666
R4457
R3551
r8445
R8489
r2951
R6401
R9384
R3032
R8511
r7042
R7009
R9314
R2689
R8450
R2071
R5258
R8520
R5852
R2465
R8364
R7222
R3688
R9401
R1631
R7224
R7410
R7609
R6903
R7109
R7375
R7179
R4116
R3103
R5950
r3501
R7098
R5257
R1834
R8930
R7813
R5179
R7370
R5560
R1617
R1452
R1530
R1449
R2928
R2724
R3461
R8147
R8015
r1237
R8507
R4802
R7865
R7324
R6203
R1320
R8153
R4971
R3003
R2811
R8711
R1393
r5405
R3370
R8154
R7614
R8401
R7874
R5371
R2010
R6001
R5620
R2015
R3001
R9015
R7831
R0557
R3097
R6901
R8010
R3920
R4923
R4954
R7861
R4535
R9376
R7512
R8555
R4321
R4814
R8447
R1330
R8446
R0631
R5820
R9300
R5315
R7890
R7730
R8918
R6900
R3451
R5103
R2681
R4922
R7619
R7610
R7615
R7784
R7884
R5470
R5472
R7030
R3701
R3702
R3707
R8175
R4805
R7494
R7900
R8104
R5822
R4008
R8452
R8455
R5168
R6934
R8041
R5750
R5121
R5310
R8070
R9080
R9618
R9615
R8432
R7191
R1614
R3771
R6959
R3742
R3975
R6649
R8604
R8444
R3990
R7908
R5423
R6641
R3558
R6402
R7816
R7829
R7190
r9000
R7523
R7565
R7376
R7379
R1847
R4866
R6979
R8601
r7063
R6993
R8155
R4843
R8169
R7776
R7904
R7906
R5005
R7148
R7775
R6229
R5513
R2014
R7693
R9928
R6228
R1781
r8750
R1702
R7806
R1215
R8901
R6752
R6703
R7990
R6122
R3070
r3865
R2834
R3095
R1540
R1280
R1230
R8810
R7837
R9580
R9583
R5252
R9067
R1462
R8708
R1412
R5920
R2621
R9415
R7807
R7847
R6960
R7560
R7664
R9012
R7561
R3208
R5438
r3460
R1554
R1553
R9321
R6880
R6361
R7301
R1355
R5515
r6481
R7698
R7733
R8118
R1212
R3530
R6970
R8011
R0304
R6951
R3560
R8500
R8422
R1611
R1210
R3604
R2171
R5172
R7722
R6946
R7450
R7082
R5254
R7467
R8441
R8103
r3169
R0211
R0552
R8621
R9850
R7536
R3773
R7987
R4773
R8021
R7330
R7832
R8433
R8551
r0850
R5246
r2080
r8600
R3973
R7439
R5439
R7437
R6854
R3021
R8410
R8542
R5155
R8317
R6935
R3964
R2032
R7755
R8370
R1687
r3091
R7564
r3441
R5215
r3012
r8102
R3533
R8060
R8200
R9081
R5101
r6803
R3107
R4710
R2825
R2088
R7665
r9003
R3090
R3453
r8592
R4035
R4311
R7695
R2802
R2892
R5221
R5341
R6877
R5720
R7367
R2425
R5929
R5150
R1442
R8642
R7756
R1331
R7142
R8123
R8255
R1126
R2175
R5106
R2089
r7679
R7671
R8144
R8980
R6956
R5316
R4513
R0609
R7016
R8435
R5610
R1980
R3078
R5854
R8159
R9707
R9520
R3517
R2201
r6941
R8170
r4807
R1892
R5216
R5336
R8013
R5265
R9310
R5330
R1945
R7670
R5700
R9990
